Дата,НоминальныйВВП,РеальныйВВП,ВВП.дол.США,на1человека
1996
01.01.1997,81519,,44558.10,1595
1997
01.01.1998,93365,,50150.40,1842
1998
01.01.1999,102593,,41883.20,2040
1999
01.01.2000,130442,,31580.60,2614
2000
01.01.2001,170070,,31261.50,3436
2001
01.01.2002,204190,,38009.30,4195
2002
01.01.2003,225810,,42392.90,4685
2003
01.01.2004,267344,,50133,5591
2004
01.01.2005,345113,,64883.10,7273
2005
01.01.2006,441452,,86142,9372
2006
01.01.2007,544153,,107753.10,11630
2007
01.01.2008,720731,,142719,15496
2008
01.01.2009,948056,,179992.40,20495
2009
01.01.2010,913345,,117227.80,19832
2010
01.01.2011,1082569,,136419.30,23600
2011
01.01.2012,1302079,,163159.70,28488
2012
01.01.2013,1411238,,175781.40,32002
2013
I,302864,303396,,
II,353025,340628,,
III,394731,386537,,
IV,404311,380048,,
01.01.2014,1454931,1410609,183310,33473
2014
I,315535,308657,,
II,372770,334422,,
III,428163,374818,,
IV,443091,336233,,
01.01.2015,1566728,1365123,131805.10,
2015
I,375525,301046,,
II,455245,335202,,
III,563907,408111,,
IV,584781,385931,,
01.01.2016,1979458,1430290,90615.00,
2016
I,455637,423463,,
II,535324,473630,,
III,669170,581356,,
IV,723051,555981,,
01.01.2017,2383182,2034430,,
VRP
АРК,46393,23595
Винницкая,36191,22303
Волынская,20622,19817
Днепропетровская,152905,46333
Донецкая,164926,37830
Житомирская,25676,20286
Закарпатская,21400,17044
Запорожская,54352,30526
Ивано-Франковская,33196,24022
Киевская,68931,39988
Кировоградская,25313,25533
Луганская,55108,24514
Львовская,63329,24937
Николаевская,32030,27355
Одесская,69760,29118
Полтавская,58464,39962
Ровенская,22004,19003
Сумская,26765,23517
Тернопольская,18085,16819
Харьковская,85315,31128
Херсонская,20767,19311
Хмельницкая,26426,20165
Черкасская,33087,26168
Черновицкая,13757,15154
Черниговская,24237,22603
Киевская,312552,109402
Севастополь,11066,28765